SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
11393,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,61.44,,,17.72,233.2,0.0,0.0,0.0
11476,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,288.8,140.5,786.5,141.0,84.75,331.2,,118.08,311.2,363.0
11476,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,681.5,887.0,135.2,20.77,40.8,50.28,,33.6,21.0,60.0
11493,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,34.22,,,20.45,,0.0,0.0,0.0
11576,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,503.0,285.8,1206.0,424.0,494.0,773.0,,461.76,486.2,816.0
11576,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,797.0,974.0,134.0,114.94,93.8,157.9,,99.36,93.2,111.0
11676,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,225.8,120.6,544.5,152.6,76.44,160.0,,200.4,211.2,273.0
11676,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,1333.0,1763.0,196.8,23.4,44.88,63.12,,31.8,33.56,86.0
11767,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,,,,,,0.144,0.0,27.0
11776,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,232.4,133.8,569.5,135.9,101.25,178.9,,175.92,192.8,280.0
11776,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,717.0,927.5,226.8,33.84,45.0,111.6,,40.44,46.53,100.0
