SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
02003,GAMBRINUS,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,268.8,,,,130.8,0.0,0.0,177.0
02300,GAMBRINUS,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,383.0,,,130.9,361.2,85.91,0.0,202.0
02303,GAMBRINUS,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,460.8,184.8,197.8,180.2,267.5,263.4,190.0,251.0
02305,GAMBRINUS,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,2758.0,469.0,512.5,774.0,1694.0,1156.0,633.0,959.0
02500,GAMBRINUS,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,281.8,,,124.8,344.5,96.42,0.0,110.0
02503,GAMBRINUS,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,114.6,76.8,156.6,106.2,139.5,138.0,103.44,125.0
02505,GAMBRINUS,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,814.0,286.5,320.5,381.5,846.5,576.5,498.0,430.0
02600,GAMBRINUS,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,1059.0,,,391.5,1030.0,275.46,0.0,707.0
02603,GAMBRINUS,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,648.0,521.5,709.0,538.0,568.0,631.5,487.8,506.0
02605,GAMBRINUS,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,6410.0,1717.0,2114.0,2642.0,5572.0,3244.0,2784.0,2614.0
02803,EXCELENT,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,72.56,240.0,274.0,200.8,168.6,250.8,139.0,117.0
02805,EXCELENT,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,294.8,284.0,272.5,310.5,622.0,417.0,183.4,187.0
05000,RADEGAST,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,1097.0,190.8,66.5,393.5,852.5,415.14,90.0,500.0
05002,RADEGAST,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,247.8,600.5,783.0,515.0,144.0,669.9,535.5,336.0
05003,RADEGAST,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,767.5,997.5,1078.0,764.0,590.0,1117.2,767.0,777.0
05005,RADEGAST,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,4628.0,2708.0,2648.0,2840.0,3650.0,4458.5,3224.0,2944.0
05100,RADEGAST,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,319.8,57.2,19.22,111.1,296.8,99.95,20.0,272.0
